,handle,solvedCount,voteCount,class,tier,ratingByProblemsSum,university
sang990701,sang990701,398,0,5,16,1396,KAIST
sangchoo1201,sangchoo1201,643,14,5,17,1424,한양대학교
sangchu8864,sangchu8864,425,0,5,17,1487,서강대학교
sanghoya1,sanghoya1,215,0,5,16,1360,중앙대학교
sanghwaann,sanghwaann,105,0,0,11,776,중앙대학교
sangjeong100,sangjeong100,99,0,1,8,367,아주대학교
sangjin256,sangjin256,210,0,4,13,980,아주대학교
sangjjang96,sangjjang96,111,0,1,9,523,국민대학교
sangjun1389,sangjun1389,185,0,2,12,805,아주대학교
sangjun97610,sangjun97610,216,0,4,14,1059,서울대학교
sangmin3393,sangmin3393,331,0,4,14,1058,연세대학교
sangoou,sangoou,77,0,0,8,402,한양대학교
sangtalk,sangtalk,463,0,4,14,968,한양대학교
sangwon090,sangwon090,951,148,6,18,1532,숭실대학교
sangyun0914,sangyun0914,102,0,1,7,278,성균관대학교
sansosanso,sansosanso,5,0,0,0,24,성균관대학교
santacroce,santacroce,48,0,1,4,80,연세대학교
santaman21,santaman21,132,0,2,10,641,숭실대학교
sany0106,sany0106,114,0,2,10,614,POSTECH
saogig0503,saogig0503,417,0,4,14,1051,성균관대학교
sap03110,sap03110,288,0,3,13,937,중앙대학교
sapphire,sapphire,727,0,3,13,901,연세대학교
sapphire7558,sapphire7558,87,0,1,7,257,성균관대학교
sara9801,sara9801,117,0,3,12,918,성균관대학교
sarah1850,sarah1850,32,0,1,3,44,숭실대학교
sarashe,sarashe,367,0,4,15,1282,연세대학교
sarcman1,sarcman1,23,0,1,2,29,서강대학교
sarra99,sarra99,65,0,1,6,187,아주대학교
sasa0000,sasa0000,290,0,5,16,1281,서강대학교
sasd9750,sasd9750,54,0,1,5,96,성균관대학교
satoly4,satoly4,192,0,3,13,1001,중앙대학교
satti0605,satti0605,197,0,2,13,959,KAIST
saveearth1,saveearth1,26,0,1,3,45,연세대학교
sayakamiru,sayakamiru,1083,118,5,17,1399,서울대학교
saycode99,saycode99,7,0,0,0,7,아주대학교
sayh4463,sayh4463,82,0,1,9,465,한양대학교
sayong4424,sayong4424,146,0,2,10,570,숭실대학교
sayper,sayper,229,0,3,13,935,성균관대학교
saystar1320,saystar1320,118,0,2,9,452,경북대학교
saywoo,saywoo,2449,1445,8,25,2212,국민대학교
sb121300,sb121300,271,0,2,12,852,국민대학교
sb1231,sb1231,17,0,0,4,133,국민대학교
sb3991,sb3991,321,0,5,20,1819,서울대학교
sbexclusive9,sbexclusive9,6,0,0,0,6,국민대학교
sbh1100,sbh1100,92,0,0,11,775,서강대학교
sbhan1198,sbhan1198,262,0,4,15,1143,중앙대학교
sbigstar0310,sbigstar0310,198,0,5,14,1045,KAIST
sbisthebest,sbisthebest,27,0,0,3,75,서울대학교
sbl1998,sbl1998,213,0,5,16,1293,고려대학교
sbm0908,sbm0908,8,0,0,0,19,고려대학교
sboh1214,sboh1214,34,0,1,3,55,KAIST
sbrus_1213,sbrus_1213,1003,39,6,21,1887,서강대학교
sbshz85,sbshz85,109,0,0,10,651,중앙대학교
sbslc2000,sbslc2000,170,0,3,13,949,중앙대학교
sc1855,sc1855,86,0,2,10,551,국민대학교
sc3289,sc3289,518,0,5,16,1351,성균관대학교
sc4217,sc4217,46,0,0,6,172,성균관대학교
sc613,sc613,133,0,2,14,1226,서울대학교
scalalang,scalalang,917,13,5,19,1675,서강대학교
scato1,scato1,34,0,0,6,204,중앙대학교
scazon,scazon,96,0,1,12,964,서울대학교
sce08050,sce08050,5,0,0,0,12,서울대학교
sch0622,sch0622,33,0,0,7,306,POSTECH
sch2660,sch2660,48,0,1,5,135,서울대학교
schimer,schimer,32,0,2,7,226,연세대학교
schnapsidee,schnapsidee,61,0,2,6,196,성균관대학교
sci5214,sci5214,15,0,0,2,66,연세대학교
sciberbee,sciberbee,6,0,0,1,46,KAIST
scif1663,scif1663,217,0,4,15,1325,성균관대학교
scjk97,scjk97,317,0,4,15,1159,숭실대학교
scka,scka,1052,2,6,21,1833,서강대학교
scott0202,scott0202,328,24,6,18,1599,KAIST
scott0622,scott0622,31,0,1,3,43,서울대학교
scott0910,scott0910,250,0,3,14,1037,국민대학교
scottwoo,scottwoo,123,0,3,13,1019,서강대학교
scteracity,scteracity,10,0,0,1,28,고려대학교
scvhero,scvhero,3976,345,4,18,1569,성균관대학교
scw8,scw8,206,0,2,12,813,연세대학교
scy0128,scy0128,43,0,1,6,148,성균관대학교
scy6500,scy6500,100,0,2,10,620,국민대학교
scyho0819,scyho0819,426,0,4,15,1166,고려대학교
scym1112,scym1112,85,0,1,8,346,성균관대학교
sd081104,sd081104,191,0,2,11,759,고려대학교
sd12339,sd12339,1379,179,7,21,1814,아주대학교
sdatoli,sdatoli,73,0,0,11,755,고려대학교
sdc2717,sdc2717,302,0,5,15,1186,서울대학교
sdf7575,sdf7575,151,0,1,11,824,성균관대학교
sdfg8931,sdfg8931,48,0,0,8,420,아주대학교
sdhg12,sdhg12,255,0,3,14,1090,아주대학교
sdi5595,sdi5595,141,0,2,11,787,고려대학교
sdi7722,sdi7722,14,0,0,0,14,서울대학교
sdm1230,sdm1230,4,0,0,1,30,서울대학교
sdouf5054,sdouf5054,60,0,1,6,137,고려대학교
sdr06128,sdr06128,83,0,1,6,200,중앙대학교
sdsd,sdsd,184,0,4,14,1058,서강대학교
sdy992000,sdy992000,130,0,5,16,1321,KAIST
se0983,se0983,122,0,2,10,607,국민대학교
se93wo,se93wo,1010,5,5,17,1397,성균관대학교
seacweed,seacweed,82,0,2,9,444,한양대학교
sealhorse,sealhorse,242,0,5,14,1072,POSTECH
seamus123,seamus123,153,0,3,11,692,KAIST
sean0422,sean0422,229,0,3,12,872,연세대학교
sean617,sean617,1424,62,8,24,2126,KAIST
sean9892,sean9892,1408,383,8,25,2187,KAIST
seastar105,seastar105,1466,163,8,26,2369,서강대학교
seayurre16,seayurre16,347,0,3,14,1059,KAIST
sebbang,sebbang,173,0,2,12,876,서강대학교
sebinkim,sebinkim,2701,199,10,31,2672,서울대학교
sechan94,sechan94,12,0,0,0,18,아주대학교
sechiyo97,sechiyo97,119,0,2,10,531,연세대학교
second2820,second2820,392,0,5,16,1280,숭실대학교
secretjuju8172,secretjuju8172,200,0,2,12,849,고려대학교
sedev57,sedev57,681,217,7,24,2157,KAIST
seeda,seeda,349,0,4,15,1155,고려대학교
seedkin,seedkin,67,0,1,7,301,고려대학교
sees4321,sees4321,61,0,0,10,648,한양대학교
seeunchoi99,seeunchoi99,200,0,0,15,1312,서강대학교
sefrd,sefrd,420,60,6,18,1572,중앙대학교
sehodayo,sehodayo,290,0,3,12,812,숭실대학교
sehong1602,sehong1602,640,5,5,18,1541,서강대학교
sehoon1106,sehoon1106,63,0,2,7,230,KAIST
sehotothemoon819,sehotothemoon819,174,0,2,13,1018,숭실대학교
sehwan1023,sehwan1023,414,23,5,16,1353,중앙대학교
sehxxxx,sehxxxx,45,0,1,5,119,경북대학교
sehyeona,sehyeona,47,0,0,10,622,연세대학교
sehyun0119,sehyun0119,115,0,3,10,510,한양대학교
seikoh,seikoh,197,0,2,9,456,숭실대학교
seilk,seilk,440,21,5,17,1430,연세대학교
sein_und_zeit,sein_und_zeit,23,0,0,4,103,성균관대학교
sejeonglee,sejeonglee,32,0,0,5,169,고려대학교
sejinkim,sejinkim,114,0,1,7,291,중앙대학교
sejjj120,sejjj120,52,0,1,6,135,고려대학교
sekeipost,sekeipost,212,6,5,16,1406,연세대학교
sekhyuni,sekhyuni,124,0,1,10,554,서강대학교
sekim520,sekim520,153,0,3,11,691,아주대학교
sekwang,sekwang,435,2,4,16,1304,POSTECH
sekyo95,sekyo95,244,0,4,15,1130,중앙대학교
selection_lee,selection_lee,31,0,0,6,210,중앙대학교
selffish234,selffish234,12,0,0,4,124,아주대학교
selfish,selfish,230,0,3,13,887,중앙대학교
semaphore,semaphore,80,0,0,9,517,서울대학교
semc1031,semc1031,184,0,2,12,797,한양대학교
seminnj,seminnj,31,0,1,5,100,서울대학교
semongsu0223,semongsu0223,16,0,0,1,18,KAIST
semote2,semote2,135,0,5,16,1315,성균관대학교
semteo,semteo,2280,0,9,25,2273,서강대학교
semteo04,semteo04,4097,172,9,26,2290,서강대학교
senadiel,senadiel,236,0,2,13,934,고려대학교
seng,seng,192,0,4,13,931,성균관대학교
seng1127,seng1127,192,0,3,13,908,숭실대학교
senyaduki,senyaduki,424,0,4,15,1146,서울대학교
seo,seo,261,0,3,15,1172,POSTECH
seo6347,seo6347,29,0,0,2,38,숭실대학교
seo9310,seo9310,273,0,4,14,1001,중앙대학교
seockoo,seockoo,200,0,3,11,674,서울대학교
seodragon95,seodragon95,118,0,5,15,1179,아주대학교
seogyoung21004,seogyoung21004,87,0,0,9,459,국민대학교
seohee2727,seohee2727,62,0,1,7,239,POSTECH
seohyeon03,seohyeon03,252,0,2,10,518,숭실대학교
seoin0110,seoin0110,949,4,4,17,1496,서강대학교
seoinking,seoinking,198,0,2,11,645,고려대학교
seojeonghyeon0630,seojeonghyeon0630,42,0,0,6,259,아주대학교
seoji0817,seoji0817,4,0,0,1,36,아주대학교
seojin3154,seojin3154,765,35,5,16,1291,성균관대학교
seojin329,seojin329,42,0,1,4,68,숭실대학교
seojiyong25,seojiyong25,85,0,0,12,1006,아주대학교
seok9311,seok9311,1220,0,5,18,1552,한양대학교
seokhyun0504,seokhyun0504,29,0,0,6,208,아주대학교
seoki3937,seoki3937,1,0,0,0,1,서울대학교
seoki9067,seoki9067,140,0,2,9,398,중앙대학교
seokjeongeum,seokjeongeum,379,38,6,17,1490,한양대학교
seokjin0404,seokjin0404,280,0,4,15,1158,연세대학교
seokjin04041,seokjin04041,256,0,3,14,1093,연세대학교
seokjin234,seokjin234,19,0,0,1,21,아주대학교
seokjun4321,seokjun4321,146,0,2,9,503,성균관대학교
seokmin1002,seokmin1002,354,0,4,14,1079,서강대학교
seokwoo1999,seokwoo1999,430,0,3,13,993,중앙대학교
seolan25,seolan25,484,1,5,17,1487,서강대학교
seoljh0722,seoljh0722,483,0,4,15,1207,중앙대학교
seolminsik,seolminsik,386,0,3,16,1462,서울대학교
seominnnnnn,seominnnnnn,126,0,2,9,395,KAIST
seon1474,seon1474,189,0,2,11,761,POSTECH
seonah,seonah,1185,362,6,22,1923,한양대학교
seong505,seong505,217,0,4,16,1346,숭실대학교
seongbeen93,seongbeen93,320,0,4,16,1315,숭실대학교
seonggwonyoon,seonggwonyoon,72,0,0,6,153,국민대학교
seonghun7304,seonghun7304,351,300,5,16,1310,숭실대학교
seonghwan7694,seonghwan7694,1020,127,5,18,1578,숭실대학교
seongjinemong,seongjinemong,245,0,5,15,1157,한양대학교
seongsihoon7,seongsihoon7,137,0,3,13,927,중앙대학교
seonguk3553,seonguk3553,1,0,0,0,1,국민대학교
seonh4996,seonh4996,1105,25,7,21,1795,KAIST
seonu2001,seonu2001,227,0,2,11,697,국민대학교
seop,seop,19,0,0,1,25,연세대학교
seorii,seorii,184,0,2,12,831,KAIST
seorii_rs,seorii_rs,5,0,0,1,26,KAIST
seosukhyun,seosukhyun,25,0,1,3,54,KAIST
seoulmango,seoulmango,45,0,0,7,313,고려대학교
seoultech,seoultech,51,0,1,6,196,서울대학교
seoyoungh,seoyoungh,77,0,0,10,662,연세대학교
seoyujin9,seoyujin9,68,0,1,6,152,중앙대학교
seoyuncho,seoyuncho,209,0,2,11,748,고려대학교
separk314,separk314,85,0,1,8,347,중앙대학교
sera158,sera158,1146,0,5,17,1387,고려대학교
seralra2,seralra2,77,0,1,8,321,성균관대학교
serendip2021,serendip2021,1617,0,8,24,2133,연세대학교
serendipitywon,serendipitywon,60,0,1,6,172,연세대학교
serin,serin,1586,445,10,31,2660,KAIST
serity,serity,1010,0,7,21,1844,서강대학교
serteen13,serteen13,111,0,1,8,311,중앙대학교
seru1121,seru1121,0,0,0,0,0,서울대학교
serve001,serve001,525,5,6,20,1741,고려대학교
sesang06,sesang06,700,0,6,20,1721,서울대학교
seth102030,seth102030,0,0,0,0,0,KAIST
setsuna,setsuna,798,63,5,19,1644,KAIST
setuid0,setuid0,68,0,1,7,256,고려대학교
seuha516,seuha516,1436,1307,5,21,1811,서울대학교
seul35,seul35,52,0,0,7,288,고려대학교
seul5124,seul5124,97,0,1,7,256,중앙대학교
seun1105,seun1105,146,0,4,14,1107,고려대학교
seung7361,seung7361,322,0,5,16,1286,한양대학교
seungan1419,seungan1419,42,0,2,6,181,KAIST
seungbaek1234,seungbaek1234,150,0,2,10,534,숭실대학교
seungbye,seungbye,235,0,2,12,854,국민대학교
seungchulee,seungchulee,465,35,5,18,1545,서강대학교
seungeun1218,seungeun1218,85,0,1,7,252,연세대학교
seunggi010,seunggi010,412,0,5,16,1388,한양대학교
seungho4136,seungho4136,482,0,4,15,1173,경북대학교
seunghun311,seunghun311,585,0,4,16,1314,숭실대학교
seungjaelim,seungjaelim,283,0,3,13,998,KAIST
seungjinlee1125,seungjinlee1125,58,0,1,6,171,서강대학교
seungjiqueen,seungjiqueen,234,0,2,14,1144,숭실대학교
seungmin_py,seungmin_py,356,0,4,15,1118,숭실대학교
seungni,seungni,34,0,0,7,313,서강대학교
seungwan04,seungwan04,8,0,0,0,8,중앙대학교
seungwanwin,seungwanwin,121,0,2,10,596,KAIST
seungwoo1124,seungwoo1124,244,0,5,15,1183,국민대학교
seungwookim,seungwookim,67,0,1,9,442,성균관대학교
seungwuk98,seungwuk98,816,47,8,26,2330,서울대학교
severck12,severck12,338,0,4,15,1204,중앙대학교
sevity,sevity,543,118,6,18,1546,연세대학교
sewon1407,sewon1407,438,9,6,19,1667,서울대학교
seyeon9704,seyeon9704,73,0,1,7,318,성균관대학교
seyeonmon,seyeonmon,314,0,4,15,1218,숭실대학교
seyoonp,seyoonp,7,0,0,1,41,KAIST
seyoung755,seyoung755,173,0,4,14,1112,서울대학교
seyoung8239,seyoung8239,208,0,4,13,979,경북대학교
seyoungpark,seyoungpark,380,0,4,14,1084,한양대학교
sg64_gram,sg64_gram,134,0,1,9,411,서강대학교
sg9939,sg9939,96,0,1,9,419,서강대학교
sgdhk,sgdhk,255,0,3,14,1148,서강대학교
sghsgh0609,sghsgh0609,311,0,4,14,1063,POSTECH
sglim9607,sglim9607,258,0,4,15,1160,성균관대학교
sh0416,sh0416,991,0,6,19,1711,POSTECH
sh05158,sh05158,170,0,2,11,727,중앙대학교
sh15987,sh15987,135,0,2,9,483,국민대학교
sh1996,sh1996,140,0,2,12,814,고려대학교
sh3931,sh3931,128,0,1,12,869,서강대학교
sh981013s,sh981013s,327,0,2,11,658,국민대학교
shaboom96,shaboom96,6,0,0,0,7,연세대학교
shadowmurloc,shadowmurloc,48,0,1,5,101,연세대학교
shahn523,shahn523,112,0,2,11,707,KAIST
shair1595,shair1595,440,0,5,17,1439,숭실대학교
shakramon,shakramon,302,0,5,17,1471,고려대학교
shandy5833,shandy5833,638,15,5,18,1580,서강대학교
sharaelong,sharaelong,1377,517,9,26,2334,서울대학교
sharhp21,sharhp21,325,0,4,16,1338,중앙대학교
sharki,sharki,118,0,1,7,283,성균관대학교
sharksheep,sharksheep,131,0,0,13,1106,성균관대학교
shavit0423,shavit0423,109,0,2,10,550,한양대학교
shawnmin,shawnmin,7,0,0,2,58,서울대학교
shb03323,shb03323,194,0,4,15,1192,중앙대학교
shbio2020,shbio2020,95,0,1,7,258,서울대학교
shc950217,shc950217,348,0,4,15,1182,서강대학교
shchohyun,shchohyun,16,0,0,2,57,숭실대학교
shchon11,shchon11,78,0,1,7,220,한양대학교
shdbsgur,shdbsgur,43,0,1,5,92,고려대학교
she_lock,she_lock,11,0,0,0,16,고려대학교
sheenjiwon,sheenjiwon,1066,9,5,20,1757,아주대학교
sheep_gg,sheep_gg,51,0,0,7,263,아주대학교
sheepsouth,sheepsouth,15,0,0,1,21,연세대학교
sherlock216,sherlock216,161,0,2,10,531,고려대학교
sherry4869,sherry4869,90,0,0,12,904,서울대학교
shhan321,shhan321,300,0,3,15,1231,서울대학교
shhh1006,shhh1006,276,0,4,13,896,연세대학교
shhj1998,shhj1998,642,0,3,19,1783,POSTECH
shhwangofficial,shhwangofficial,232,0,5,15,1241,성균관대학교
shiaky0905,shiaky0905,35,0,1,3,65,중앙대학교
shie44167,shie44167,678,0,4,17,1480,한양대학교
shieldnet,shieldnet,549,49,3,16,1431,중앙대학교
shiftpsh,shiftpsh,3497,1541,8,26,2300,서강대학교
shimhyerin,shimhyerin,64,0,1,6,149,국민대학교
shimmb5454,shimmb5454,215,0,4,15,1159,서강대학교
shimyc,shimyc,305,0,4,15,1185,중앙대학교
shin0621,shin0621,442,0,4,15,1134,고려대학교
shin990,shin990,3,0,0,0,3,성균관대학교
shinbian11,shinbian11,623,0,4,16,1363,숭실대학교
shindd,shindd,5,0,0,1,43,경북대학교
shindj4613,shindj4613,175,0,2,11,755,중앙대학교
shinheewon2560,shinheewon2560,8,0,0,0,10,고려대학교
shinhyuk1001,shinhyuk1001,62,0,1,7,241,KAIST
shinism,shinism,36,0,0,8,372,고려대학교
shinjawkwang,shinjawkwang,196,0,3,13,995,성균관대학교
shinji530,shinji530,29,0,0,6,189,중앙대학교
shinjs0313,shinjs0313,104,0,2,10,590,아주대학교
shinkoh98,shinkoh98,58,0,1,5,116,경북대학교
shinlama,shinlama,53,0,1,6,192,연세대학교
shinmj0110,shinmj0110,161,0,2,11,714,숭실대학교
shinsion,shinsion,299,0,4,13,959,경북대학교
shiroed1211,shiroed1211,578,0,3,14,1048,서강대학교
shirostic,shirostic,77,0,2,9,430,아주대학교
shj1504,shj1504,209,0,1,14,1251,고려대학교
shj9801,shj9801,445,7,8,20,1752,경북대학교
shjgkwo,shjgkwo,1138,16,9,25,2199,아주대학교
shjoo840,shjoo840,152,0,1,10,577,성균관대학교
shk5644,shk5644,33,0,0,6,239,한양대학교
shk9946,shk9946,0,0,0,0,0,아주대학교
shkim7876,shkim7876,337,0,5,16,1294,중앙대학교
shlee21,shlee21,12,0,0,2,71,POSTECH
shlee4290,shlee4290,228,0,4,14,1098,숭실대학교
shlee782,shlee782,48,0,0,9,522,연세대학교
shm471025,shm471025,125,0,3,12,897,서울대학교
shn,shn,333,13,6,17,1474,고려대학교
shng6815,shng6815,578,2,5,17,1380,국민대학교
shohoku_jungdaeman,shohoku_jungdaeman,248,0,5,15,1202,연세대학교
shoo040113,shoo040113,1300,203,6,19,1658,중앙대학교
shoon0602,shoon0602,484,0,5,18,1556,서울대학교
shoon125,shoon125,381,0,4,15,1110,성균관대학교
shoreview01,shoreview01,60,0,1,6,156,고려대학교
shoveling42,shoveling42,293,0,3,14,1054,고려대학교
showmethemoney,showmethemoney,106,0,1,9,544,서강대학교
showppark12,showppark12,153,0,1,13,1014,국민대학교
showx123,showx123,230,0,0,16,1608,성균관대학교
shp960119,shp960119,161,0,0,15,1340,연세대학교
shpaul2001,shpaul2001,122,0,3,13,986,KAIST
shs395,shs395,390,0,5,16,1344,아주대학교
shsh9829,shsh9829,111,0,1,11,736,국민대학교
shshrdl,shshrdl,274,0,5,15,1128,중앙대학교
shtjrgus010,shtjrgus010,418,0,4,17,1494,숭실대학교
shukwang,shukwang,163,0,2,9,476,국민대학교
shumin,shumin,275,0,3,13,1012,연세대학교
shw2495,shw2495,863,0,5,17,1470,성균관대학교
shware10,shware10,98,0,2,9,415,국민대학교
shwbak,shwbak,63,0,1,7,279,아주대학교
shwldus067,shwldus067,651,0,6,20,1741,서강대학교
shy625,shy625,304,0,3,13,1009,아주대학교
shyoon515,shyoon515,38,0,1,4,75,서울대학교
shyukahn,shyukahn,82,0,1,7,295,KAIST
shyuni5,shyuni5,11,0,0,1,21,성균관대학교
siam2510,siam2510,40,0,0,3,74,아주대학교
sickpickel,sickpickel,448,2,5,16,1377,아주대학교
sidlilac,sidlilac,40,0,1,4,71,KAIST
sidz0520,sidz0520,291,0,4,15,1239,서강대학교
sig2nya,sig2nya,209,0,2,11,671,중앙대학교
sig45,sig45,217,0,3,14,1161,성균관대학교
sigamma0314,sigamma0314,53,0,1,5,93,서울대학교
sih,sih,209,0,1,8,295,서강대학교
sihohan0413,sihohan0413,81,0,1,7,261,성균관대학교
sihyun25,sihyun25,54,0,1,5,117,아주대학교
sihyun98,sihyun98,46,0,0,6,210,중앙대학교
sijun0514,sijun0514,131,0,2,9,494,중앙대학교
siklee,siklee,524,0,4,15,1240,서강대학교
siksik22,siksik22,61,0,1,6,149,서강대학교
sikugeon,sikugeon,150,0,3,14,1085,국민대학교
sikyo8,sikyo8,55,0,0,7,350,아주대학교
silac,silac,49,0,0,7,320,국민대학교
silas,silas,306,0,3,16,1383,성균관대학교
silbove,silbove,667,0,2,12,801,고려대학교
sillsill777,sillsill777,206,64,1,16,1586,서강대학교
silverash,silverash,138,0,2,11,781,숭실대학교
silverlic,silverlic,556,0,4,16,1349,숭실대학교
silvester71,silvester71,640,91,6,21,1816,아주대학교
sim0629,sim0629,134,0,1,10,674,서울대학교
simcy1024,simcy1024,132,0,2,10,640,고려대학교
simh3077,simh3077,112,0,1,9,430,아주대학교
simhs0130,simhs0130,19,0,0,2,48,고려대학교
simillzo,simillzo,125,0,1,9,414,연세대학교
simjy98,simjy98,61,0,1,6,148,POSTECH
simnalamburt,simnalamburt,157,0,3,12,794,서울대학교
simonbro,simonbro,86,0,1,10,617,성균관대학교
simonyain,simonyain,261,0,2,10,573,서강대학교
simple3068,simple3068,492,0,2,11,702,중앙대학교
simsan00,simsan00,403,0,5,16,1275,숭실대학교
simsimgyugyujaejae,simsimgyugyujaejae,2,0,0,0,2,서강대학교
simson314,simson314,16,0,0,1,36,서울대학교
simsulison,simsulison,314,0,3,15,1258,서강대학교
sin584869,sin584869,45,0,0,6,215,POSTECH
sinam7,sinam7,343,6,5,16,1300,국민대학교
singon96,singon96,1192,0,6,18,1593,서강대학교
singularis7,singularis7,180,0,3,13,932,국민대학교
singun11,singun11,4064,128,7,22,1894,국민대학교
sinksdo,sinksdo,49,0,1,5,107,숭실대학교
sinmoo,sinmoo,0,0,0,0,0,서울대학교
sinnyong,sinnyong,7,0,0,0,7,서울대학교
sinphi01,sinphi01,571,1,6,20,1767,한양대학교
sinsinsins,sinsinsins,111,0,1,8,315,고려대학교
sinus,sinus,42,0,0,8,391,성균관대학교
sinustar,sinustar,8,0,0,0,10,서울대학교
sinwindis,sinwindis,167,0,4,15,1213,중앙대학교
siny,siny,118,0,1,9,405,한양대학교
sioniasak,sioniasak,97,0,1,7,255,경북대학교
sirius21,sirius21,135,0,2,9,482,숭실대학교
siriusbug257,siriusbug257,206,0,2,11,710,고려대학교
siriusbug257_py,siriusbug257_py,86,0,1,7,221,고려대학교
sis04263,sis04263,21,0,0,2,57,중앙대학교
sis1998,sis1998,140,0,0,13,1056,한양대학교
sis3594,sis3594,154,0,2,12,862,성균관대학교
sitmj,sitmj,132,0,3,13,964,경북대학교
siu23,siu23,297,0,3,13,904,서울대학교
siu731,siu731,3,0,0,0,14,연세대학교
siun0816,siun0816,39,0,0,6,247,한양대학교
siwall0105,siwall0105,112,0,2,9,389,아주대학교
siwancom22,siwancom22,8,0,0,0,8,중앙대학교
siyeon0486,siyeon0486,35,0,1,3,46,고려대학교
siyeon44,siyeon44,203,0,2,13,974,숭실대학교
sj005006,sj005006,170,0,3,12,825,연세대학교
sj0628815,sj0628815,65,0,3,10,537,성균관대학교
sj8504,sj8504,479,0,5,16,1299,성균관대학교
sja1008,sja1008,506,0,4,17,1541,서강대학교
sjang1425,sjang1425,42,0,0,7,331,아주대학교
sjb8032,sjb8032,358,30,5,18,1593,서울대학교
sjbae1996,sjbae1996,94,0,0,9,449,연세대학교
sjbz0825,sjbz0825,8,0,0,1,23,KAIST
sje119,sje119,118,0,1,9,443,중앙대학교
sjh1220,sjh1220,14,0,0,0,16,서울대학교
sjh1224,sjh1224,1079,8,7,21,1870,서울대학교
sjh1334,sjh1334,28,0,0,7,296,아주대학교
sjh203,sjh203,9,0,0,2,76,서울대학교
sjh3992,sjh3992,78,0,0,5,130,국민대학교
sjhi00,sjhi00,3026,5,8,26,2301,서울대학교
sjhkr2009,sjhkr2009,74,0,0,9,577,연세대학교
sjimed,sjimed,829,77,9,27,2387,KAIST
sjk8w7,sjk8w7,159,0,2,12,937,숭실대학교
sjk928,sjk928,166,0,2,12,936,고려대학교
sjkim2200,sjkim2200,11,0,0,3,93,서울대학교
sjli1231,sjli1231,157,0,2,10,563,고려대학교
sjljason,sjljason,36,0,1,4,77,서강대학교
sjly3k,sjly3k,157,0,2,11,780,중앙대학교
sjm1013ok,sjm1013ok,47,0,2,7,304,중앙대학교
sjpark1030,sjpark1030,72,0,1,7,250,한양대학교
sjpark1208,sjpark1208,184,0,3,14,1090,숭실대학교
sjpuma,sjpuma,577,0,5,18,1632,숭실대학교
sjrnfl0412,sjrnfl0412,251,0,3,13,961,국민대학교
sjs523,sjs523,52,0,1,6,136,고려대학교
sjsi28e7,sjsi28e7,460,1,5,17,1412,경북대학교
sjsjmine1,sjsjmine1,75,0,0,10,730,성균관대학교
sjskgks,sjskgks,192,0,1,13,1058,고려대학교
sjun0722,sjun0722,85,0,2,8,329,연세대학교
sjw3288,sjw3288,421,51,5,18,1568,성균관대학교
sjw7323,sjw7323,78,0,1,8,379,서울대학교
sjwoo1999,sjwoo1999,380,0,0,0,0,고려대학교
sjy23520756,sjy23520756,80,0,2,8,346,성균관대학교
sjy366,sjy366,653,0,4,16,1415,서강대학교
sjyrsh0712,sjyrsh0712,651,8,5,17,1406,한양대학교
sk0054,sk0054,157,0,3,13,1009,경북대학교
sk091204091204,sk091204091204,1424,27,8,24,2141,연세대학교
sk100,sk100,189,0,3,11,740,고려대학교
ska1xo2dnd3,ska1xo2dnd3,366,0,4,15,1268,KAIST
skagh0919,skagh0919,122,0,1,10,650,연세대학교
skangwon,skangwon,70,0,1,7,237,중앙대학교
skarl,skarl,99,0,0,11,835,중앙대학교
skatlqwktjd,skatlqwktjd,35,0,1,4,78,한양대학교
skck0226,skck0226,440,0,4,15,1221,아주대학교
skcom,skcom,1185,0,4,16,1295,연세대학교
skdudn321,skdudn321,983,0,4,20,1830,숭실대학교
ske03005,ske03005,96,0,0,12,999,성균관대학교
skeep194,skeep194,1788,129,8,23,1995,경북대학교
skehdgus8150,skehdgus8150,29,0,1,3,63,한양대학교
skeletonk,skeletonk,945,156,6,20,1709,고려대학교
skewers,skewers,291,0,4,14,1106,숭실대학교
skf346,skf346,169,0,2,11,782,연세대학교
skg10018,skg10018,77,0,1,6,130,성균관대학교
skgus59,skgus59,202,0,1,8,314,서강대학교
skh7343,skh7343,362,0,3,13,992,서강대학교
skhnpark,skhnpark,42,0,1,4,68,경북대학교
skicombinator,skicombinator,188,0,2,12,795,서울대학교
skj0922,skj0922,432,0,3,14,1086,국민대학교
skjd1234,skjd1234,619,0,4,16,1283,중앙대학교
skjh0818,skjh0818,296,0,4,15,1147,한양대학교
skk7541,skk7541,76,0,0,10,717,서울대학교
skkiss98,skkiss98,358,2,3,14,1124,KAIST
skku,skku,0,0,0,0,0,성균관대학교
skku16,skku16,135,0,2,11,813,성균관대학교
skkudj,skkudj,984,0,4,14,996,성균관대학교
skkuljw,skkuljw,140,0,2,11,680,성균관대학교
skload,skload,30,0,0,6,222,KAIST
skqk126,skqk126,346,0,5,16,1399,아주대학교
skrr0722,skrr0722,13,0,0,2,64,서울대학교
skrud1006,skrud1006,37,0,0,6,242,경북대학교
sksals4c,sksals4c,174,0,5,15,1187,국민대학교
skscp223,skscp223,370,0,4,15,1284,성균관대학교
skseofhek,skseofhek,318,0,4,16,1320,연세대학교
skshtlsdidrb,skshtlsdidrb,182,0,3,13,972,한양대학교
sksqnddl123,sksqnddl123,319,0,5,15,1246,연세대학교
