,handle,solvedCount,voteCount,class,tier,ratingByProblemsSum,university
ahn318123,ahn318123,44,0,1,5,116,서강대학교
ahn7157,ahn7157,91,0,0,13,1085,POSTECH
ahndw55,ahndw55,340,0,3,15,1209,숭실대학교
ahnsy0809,ahnsy0809,54,0,1,7,257,서울대학교
ahoy,ahoy,66,0,1,6,148,한양대학교
ahr0322,ahr0322,152,0,2,11,718,숭실대학교
ahrrpa,ahrrpa,66,0,1,6,197,한양대학교
ahtm,ahtm,122,0,1,8,338,서강대학교
ahwatnow,ahwatnow,145,0,3,11,681,고려대학교
ai4youej,ai4youej,2394,1225,4,19,1720,KAIST
ai_ji,ai_ji,179,0,0,14,1173,중앙대학교
aidan1,aidan1,4,0,0,0,4,연세대학교
aiden2978,aiden2978,250,0,4,14,997,서울대학교
aidenq,aidenq,137,0,1,9,433,서강대학교
aig031,aig031,24,0,0,3,83,성균관대학교
aigorithm,aigorithm,413,0,4,16,1365,숭실대학교
ainch96,ainch96,1427,35,7,23,2021,서울대학교
ainta,ainta,4463,135,10,31,2746,서울대학교
airplane9876,airplane9876,662,19,6,19,1653,서강대학교
aisbjangwon,aisbjangwon,93,0,1,7,279,서강대학교
ajh1973456,ajh1973456,333,6,4,16,1307,경북대학교
ajh8144,ajh8144,105,0,0,12,908,아주대학교
ajhappy12,ajhappy12,343,0,5,16,1257,성균관대학교
ajhkim1208,ajhkim1208,325,0,3,13,1007,성균관대학교
aji5820,aji5820,715,0,4,15,1150,경북대학교
ajinjjayo,ajinjjayo,22,0,0,1,26,성균관대학교
ajou4095,ajou4095,30,0,3,7,272,아주대학교
ajouhm3934,ajouhm3934,101,0,2,8,353,아주대학교
ajs7270,ajs7270,420,0,2,12,867,서울대학교
ajtwlstmdgks,ajtwlstmdgks,476,0,4,16,1374,서강대학교
aju540,aju540,325,1,5,16,1360,연세대학교
ajuys,ajuys,166,0,3,14,1116,아주대학교
ajw4586,ajw4586,393,0,4,15,1238,국민대학교
ajy720,ajy720,346,0,4,15,1131,서강대학교
ak3243,ak3243,623,0,6,18,1565,경북대학교
akainoo,akainoo,375,0,4,16,1335,한양대학교
akame312,akame312,302,0,3,13,953,경북대학교
akangel0307,akangel0307,68,0,1,6,169,한양대학교
akasha,akasha,1,0,0,0,1,고려대학교
akdlwofyd,akdlwofyd,383,0,3,14,1117,국민대학교
akdrnsl,akdrnsl,56,0,0,9,549,성균관대학교
akepdlsclsk,akepdlsclsk,65,0,1,6,159,성균관대학교
akfls745,akfls745,267,0,4,14,1079,국민대학교
akfrdmsgosla,akfrdmsgosla,228,0,2,11,714,경북대학교
